Average_Order_Value,Time_Spent_Minutes,Average_Session_Duration,Age_Group_Under 18,Age_Group_18-24,Age_Group_25-34,Age_Group_35-49,Age_Group_50-64,Age_Group_65+
0.5409488319333141,0.25303324469292815,0.30281296975409483,0,0,0,0,0,1
0.5939145766236551,-0.7255250468099413,-0.6666402704565244,0,0,0,1,0,0
-0.6077457560384555,0.1368804912674326,0.03089773459667299,0,0,1,0,0,0
-0.6172630382875014,-0.5989128143547651,-0.5990491648507266,0,0,0,0,1,0
-2.3969948188590373,-0.21000168312786932,-0.2482670049968763,0,0,1,0,0,0
0.23763718460503339,-0.07211804861331102,-0.10459937764368289,0,0,0,1,0,0
0.7970878628967598,2.6000161624899176,2.5400794878237325,0,0,0,0,1,0
1.0122612007012701,0.17871840738615546,0.08457886726395528,0,0,0,1,0,0
-1.1386445875830453,-0.85481184924531,-0.8323149959729578,0,0,0,1,0,0
-0.05988133439774124,0.6505412079990136,0.7916385751097924,0,0,1,0,0,0
-0.8829193514999929,-0.7441515163148522,-0.7616022346601562,0,0,0,1,0,0
1.0792959713249832,-0.48739279821638837,-0.44219781792304647,0,0,0,0,1,0
0.0030154874220385147,-1.1824944319970885,-1.1614814701471747,0,0,0,0,1,0
-0.5179522669931124,-0.21000168312786932,-0.21051949987735158,0,0,0,1,0,0
1.1794343323801593,-0.11085155314788218,-0.21745678410236297,0,1,0,0,0,0
0.648121705955176,0.9279323230875326,0.677514866591467,0,0,0,1,0,0
-0.695470270681833,-0.7725210621761782,-0.6881202759048565,0,1,0,0,0,0
-0.7956086317370089,4.758067366415855e-05,-0.06514053948574941,0,0,0,0,1,0
0.11349872048704672,-0.4090183457611095,-0.2843834682699913,0,0,0,1,0,0
-1.2201621790205233,-0.2241864560585322,-0.020886602564891367,0,1,0,0,0,0
-0.25395113330219365,0.3352762715838425,0.36496725482909165,0,0,0,1,0,0
0.575293807005957,-0.6857408183545805,-0.6474462037748263,0,0,1,0,0,0
2.166748916998546,1.9458927616200212,1.7049042283514702,0,0,0,1,0,0
1.341228130613935,-0.09723990235583195,-0.021937034187215765,0,0,0,1,0,0
-0.6801598601072811,2.1016864629662244,1.809912706270602,0,0,0,0,0,1
-0.3693999049319215,-0.24558301590007095,-0.2817389852651548,0,0,0,1,0,0
-1.2363001793558617,-0.0021493875243510097,0.17611109114109672,0,0,0,0,1,0
0.6096387820785999,-0.5098878421569346,-0.46547544608008673,0,0,0,1,0,0
1.074744227640657,0.18674211732673252,0.23518178791928013,0,0,1,0,0,0
-0.6491252440777844,-0.64929980237446,-0.6405284992803458,0,0,1,0,0,0
0.21611985082458254,-0.5021029331074461,-0.4675880504117938,0,0,0,0,1,0
-0.1749163111470756,-1.0307125856211736,-1.0182313262356177,0,0,0,0,1,0
-0.8754710436529137,-1.0404079017993708,-1.0233664745044293,0,0,0,0,0,1
0.136671233789071,-1.1363580998387708,-1.1219440974812889,0,1,0,0,0,0
